AGE,EDUC,MARRIED,KIDS,OCCAT1,OCCAT2,INCOME,WAGEINC,YESFINRISK,NOFINRISK,SAVING,HSTOCKS,HBROK,HOUSECL,NETWORTH,RiskTolerance
75,12.0,2,0,1,1,67195.781504,1018.1179016,0,0,0.0,0,1,1,2153600.0,0.842436974789916
75,12.0,2,0,1,1,57014.602488,1018.1179016,0,0,0.0,0,1,1,2116200.0,0.8236607142857143
75,12.0,2,0,1,1,51924.01298,1018.1179016,0,0,0.0,0,1,1,2145000.0,0.8347280334728033
75,12.0,2,0,1,1,41742.833964,1018.1179016,0,0,0.0,0,1,1,2552500.0,0.9111617312072893
75,12.0,2,0,1,1,50905.895078,1018.1179016,0,0,0.0,0,1,1,2176200.0,0.844758064516129
52,13.0,1,3,1,2,17430178.475,2036235.8031,0,0,37400.0,1,1,1,510243800.0,0.7860881991655425
52,13.0,1,3,1,2,14986695.511,2036235.8031,0,0,31480.0,1,1,1,462373480.0,0.7401217388623499
52,13.0,1,3,1,2,18397390.481,2036235.8031,0,0,33860.0,1,1,1,784241870.0,0.8174501329901771
52,13.0,1,3,1,2,20637249.865,2036235.8031,0,0,32690.0,1,1,1,526520190.0,0.7068825207586237
52,13.0,1,3,1,2,20637249.865,2036235.8031,0,0,34900.0,1,1,1,540771980.0,0.7725503352967399
55,12.0,2,0,1,1,111992.96917,82467.550027,0,0,2500.0,1,1,1,523500.0,0.9174311926605505
55,12.0,2,0,1,1,128282.8556,99775.554354,0,0,2200.0,1,1,1,454200.0,0.8771929824561403
55,12.0,2,0,1,1,129300.9735,99775.554354,0,0,1700.0,1,1,1,501700.0,0.8832807570977917
55,12.0,2,0,1,1,117083.55868,87558.139535,0,0,1100.0,1,1,1,692100.0,0.93812375249501
55,12.0,2,0,1,1,117083.55868,87558.139535,0,0,1100.0,1,1,1,500100.0,0.9003215434083601
24,12.0,1,0,1,3,59050.838291,59050.838291,0,0,800.0,1,0,2,-13840.0,0.004149377593360996
24,12.0,1,0,1,3,60068.956193,60068.956193,0,0,800.0,1,0,2,-17350.0,0.004149377593360996
24,12.0,1,0,1,3,60068.956193,60068.956193,0,0,800.0,1,0,2,-16440.0,0.004149377593360996
24,12.0,1,0,1,3,60068.956193,59050.838291,0,0,800.0,1,0,2,-16940.0,0.004149377593360996
24,12.0,1,0,1,3,60068.956193,60068.956193,0,0,800.0,1,0,2,-17290.0,0.004149377593360996
52,12.0,1,2,3,4,2321308.8156,1364277.9881,0,0,1004000.0,0,1,1,11742000.0,0.6622516556291391
52,12.0,1,2,3,4,2321308.8156,1354096.8091,0,0,1004000.0,0,1,1,11742000.0,0.6622516556291391
52,12.0,1,2,3,4,2321308.8156,1354096.8091,0,0,1004000.0,0,1,1,11743000.0,0.6622516556291391
52,12.0,1,2,3,4,2321308.8156,1364277.9881,0,0,1004000.0,0,1,1,11742000.0,0.6622516556291391
52,12.0,1,2,3,4,2321308.8156,1364277.9881,0,0,1004000.0,0,1,1,11742000.0,0.6622516556291391
66,12.0,2,0,3,4,78395.078421,0.0,0,0,5000.0,1,1,1,2065500.0,0.9886039886039886
66,12.0,2,0,3,4,77376.960519,0.0,0,0,5000.0,1,1,1,1764000.0,0.9865168539325843
66,12.0,2,0,3,4,79413.196322,0.0,0,0,5000.0,1,1,1,2254900.0,0.963855421686747
66,12.0,2,0,3,4,77376.960519,0.0,0,0,5000.0,1,1,1,1584900.0,0.9849246231155779
66,12.0,2,0,3,4,80431.314224,0.0,0,0,5000.0,1,1,1,1591900.0,0.977859778597786
64,12.0,1,0,2,1,170025.68956,101811.79016,0,0,0.0,0,1,1,2405000.0,0.8280254777070064
64,12.0,1,0,2,1,169007.57166,101811.79016,0,0,0.0,0,1,1,2405000.0,0.8280254777070064
64,12.0,1,0,2,1,169007.57166,101811.79016,0,0,0.0,0,1,1,2405000.0,0.8280254777070064
64,12.0,1,0,2,1,170025.68956,101811.79016,0,0,0.0,0,1,1,2405000.0,0.8280254777070064
64,12.0,1,0,2,1,170025.68956,101811.79016,0,0,0.0,0,1,1,2405000.0,0.8280254777070064
